notch,notchdesc,srg,srgdesc,mcp,mcpdesc
btn/playing,(Ljava/lang/String;)Z,net/minecraft/client/audio/SoundManager$SoundSystemStarterThread/playing,(Ljava/lang/String;)Z,net/minecraft/client/audio/SoundManager$SoundSystemStarterThread/playing,(Ljava/lang/String;)Z
sp/a,(Lsa;)Z,net/minecraft/command/IEntitySelector$ArmoredMob/func_82704_a,(Lnet/minecraft/entity/Entity;)Z,net/minecraft/command/IEntitySelector$ArmoredMob/isEntityApplicable,(Lnet/minecraft/entity/Entity;)Z
sa/f,(Ldh;)V,net/minecraft/entity/Entity/func_70020_e,(Lnet/minecraft/nbt/NBTTagCompound;)V,net/minecraft/entity/Entity/readFromNBT,(Lnet/minecraft/nbt/NBTTagCompound;)V
ahn/values,()[Lahn;,net/minecraft/world/EnumSkyBlock/values,()[Lnet/minecraft/world/EnumSkyBlock;,net/minecraft/world/EnumSkyBlock/values,()[Lnet/minecraft/world/EnumSkyBlock;
api/a,(Lrb;Lxk;)Z,net/minecraft/tileentity/TileEntityHopper/func_145898_a,(Lnet/minecraft/inventory/IInventory;Lnet/minecraft/entity/item/EntityItem;)Z,net/minecraft/tileentity/TileEntityHopper/func_145898_a,(Lnet/minecraft/inventory/IInventory;Lnet/minecraft/entity/item/EntityItem;)Z
brc/d,()Ljava/io/File;,net/minecraft/client/resources/ResourcePackRepository/func_110612_e,()Ljava/io/File;,net/minecraft/client/resources/ResourcePackRepository/getDirResourcepacks,()Ljava/io/File;
bej/h,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$800,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$800,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
ajq/b,(Lahb;IIILjava/util/Random;)V,net/minecraft/block/BlockBrewingStand/func_149734_b,(Lnet/minecraft/world/World;IIILjava/util/Random;)V,net/minecraft/block/BlockBrewingStand/randomDisplayTick,(Lnet/minecraft/world/World;IIILjava/util/Random;)V
bbu/a,(Ljava/lang/String;I)Ljava/lang/String;,net/minecraft/client/gui/FontRenderer/func_78269_a,(Ljava/lang/String;I)Ljava/lang/String;,net/minecraft/client/gui/FontRenderer/trimStringToWidth,(Ljava/lang/String;I)Ljava/lang/String;
bpd/a,(Lzp;)Lbqx;,net/minecraft/client/renderer/tileentity/RenderWitherSkull/func_110775_a,(Lnet/minecraft/entity/projectile/EntityWitherSkull;)Lnet/minecraft/util/ResourceLocation;,net/minecraft/client/renderer/tileentity/RenderWitherSkull/getEntityTexture,(Lnet/minecraft/entity/projectile/EntityWitherSkull;)Lnet/minecraft/util/ResourceLocation;
avk/a,(Lahb;Lasv;Ljava/util/Random;IIII)V,net/minecraft/world/gen/structure/StructureComponent/func_74881_a,(Lnet/minecraft/world/World;Lnet/minecraft/world/gen/structure/StructureBoundingBox;Ljava/util/Random;IIII)V,net/minecraft/world/gen/structure/StructureComponent/placeDoorAtCurrentPosition,(Lnet/minecraft/world/World;Lnet/minecraft/world/gen/structure/StructureBoundingBox;Ljava/util/Random;IIII)V
et/readBytes,([BII)Lio/netty/buffer/ByteBuf;,net/minecraft/network/PacketBuffer/readBytes,([BII)Lio/netty/buffer/ByteBuf;,net/minecraft/network/PacketBuffer/readBytes,([BII)Lio/netty/buffer/ByteBuf;
wi/t,()Ljava/lang/String;,net/minecraft/entity/passive/EntityHorse/func_70639_aQ,()Ljava/lang/String;,net/minecraft/entity/passive/EntityHorse/getLivingSound,()Ljava/lang/String;
sw/t,()Ljava/lang/String;,net/minecraft/entity/EntityLiving/func_70639_aQ,()Ljava/lang/String;,net/minecraft/entity/EntityLiving/getLivingSound,()Ljava/lang/String;
bej/i,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$900,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$900,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
bpe/a,(Lwv;)Lbqx;,net/minecraft/client/renderer/entity/RenderWolf/func_110775_a,(Lnet/minecraft/entity/passive/EntityWolf;)Lnet/minecraft/util/ResourceLocation;,net/minecraft/client/renderer/entity/RenderWolf/getEntityTexture,(Lnet/minecraft/entity/passive/EntityWolf;)Lnet/minecraft/util/ResourceLocation;
adb/d,()I,net/minecraft/item/Item/func_94901_k,()I,net/minecraft/item/Item/getSpriteNumber,()I
anc/b,(Lahb;IIILjava/util/Random;)V,net/minecraft/block/BlockRedstoneTorch/func_149734_b,(Lnet/minecraft/world/World;IIILjava/util/Random;)V,net/minecraft/block/BlockRedstoneTorch/randomDisplayTick,(Lnet/minecraft/world/World;IIILjava/util/Random;)V
bej/o,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$1700,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$1700,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
akn/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockDoor/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockDoor/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
bcq/b,(III)V,net/minecraft/client/gui/GuiScreenRealmsProxy/func_146286_b,(III)V,net/minecraft/client/gui/GuiScreenRealmsProxy/mouseMovedOrUp,(III)V
dy/a_,()Ljava/lang/String;,net/minecraft/nbt/NBTBase/func_150285_a_,()Ljava/lang/String;,net/minecraft/nbt/NBTBase/func_150285_a_,()Ljava/lang/String;
atm/a,(Ljava/util/List;Ljava/util/Random;IIIII)Latm;,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing2/func_74979_a,(Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing2;,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing2/createValidComponent,(Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/world/gen/structure/StructureNetherBridgePieces$Crossing2;
bpe/a,(Lwv;IF)I,net/minecraft/client/renderer/entity/RenderWolf/func_77032_a,(Lnet/minecraft/entity/passive/EntityWolf;IF)I,net/minecraft/client/renderer/entity/RenderWolf/shouldRenderPass,(Lnet/minecraft/entity/passive/EntityWolf;IF)I
aoh/a,(Lahb;IIILaji;)V,net/minecraft/block/BlockVine/func_149695_a,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;)V,net/minecraft/block/BlockVine/onNeighborBlockChange,(Lnet/minecraft/world/World;IIILnet/minecraft/block/Block;)V
bes/a,(Lbes;)Lbao;,net/minecraft/client/gui/GuiKeyBindingList/access$100,(Lnet/minecraft/client/gui/GuiKeyBindingList;)Lnet/minecraft/client/Minecraft;,net/minecraft/client/gui/GuiKeyBindingList/access$100,(Lnet/minecraft/client/gui/GuiKeyBindingList;)Lnet/minecraft/client/Minecraft;
bui/bufferUnlockCallback,(J)V,net/minecraft/client/stream/IngestServerTester/bufferUnlockCallback,(J)V,net/minecraft/client/stream/IngestServerTester/bufferUnlockCallback,(J)V
bao/R,()Lbrc;,net/minecraft/client/Minecraft/func_110438_M,()Lnet/minecraft/client/resources/ResourcePackRepository;,net/minecraft/client/Minecraft/getResourcePackRepository,()Lnet/minecraft/client/resources/ResourcePackRepository;
aky/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockFarmland/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockFarmland/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
bao/ao,()V,net/minecraft/client/Minecraft/func_147112_ai,()V,net/minecraft/client/Minecraft/func_147112_ai,()V
ann/a,(Lahb;IIILjava/util/Random;)V,net/minecraft/block/BlockSnow/func_149674_a,(Lnet/minecraft/world/World;IIILjava/util/Random;)V,net/minecraft/block/BlockSnow/updateTick,(Lnet/minecraft/world/World;IIILjava/util/Random;)V
sa/c,(Ldh;)Z,net/minecraft/entity/Entity/func_98035_c,(Lnet/minecraft/nbt/NBTTagCompound;)Z,net/minecraft/entity/Entity/writeMountToNBT,(Lnet/minecraft/nbt/NBTTagCompound;)Z
sa/e,(Ldh;)V,net/minecraft/entity/Entity/func_70109_d,(Lnet/minecraft/nbt/NBTTagCompound;)V,net/minecraft/entity/Entity/writeToNBT,(Lnet/minecraft/nbt/NBTTagCompound;)V
adb/c,()I,net/minecraft/item/Item/func_77619_b,()I,net/minecraft/item/Item/getItemEnchantability,()I
nh/a,(Ljn;)V,net/minecraft/network/NetHandlerPlayServer/func_147343_a,(Lnet/minecraft/network/play/client/C12PacketUpdateSign;)V,net/minecraft/network/NetHandlerPlayServer/processUpdateSign,(Lnet/minecraft/network/play/client/C12PacketUpdateSign;)V
om/c,()Ljava/io/File;,net/minecraft/server/management/UserList/func_152691_c,()Ljava/io/File;,net/minecraft/server/management/UserList/func_152691_c,()Ljava/io/File;
anc/a,(Lahb;IIILjava/util/Random;)V,net/minecraft/block/BlockRedstoneTorch/func_149674_a,(Lnet/minecraft/world/World;IIILjava/util/Random;)V,net/minecraft/block/BlockRedstoneTorch/updateTick,(Lnet/minecraft/world/World;IIILjava/util/Random;)V
ayp/a,(Ldh;)Ldh;,net/minecraft/world/storage/DerivedWorldInfo/func_76082_a,(Lnet/minecraft/nbt/NBTTagCompound;)Lnet/minecraft/nbt/NBTTagCompound;,net/minecraft/world/storage/DerivedWorldInfo/cloneNBTCompound,(Lnet/minecraft/nbt/NBTTagCompound;)Lnet/minecraft/nbt/NBTTagCompound;
pe/h,()Lph;,net/minecraft/stats/StatBasic/func_75971_g,()Lnet/minecraft/stats/StatBase;,net/minecraft/stats/StatBasic/registerStat,()Lnet/minecraft/stats/StatBase;
nh/a,(Ljc;)V,net/minecraft/network/NetHandlerPlayServer/func_147353_a,(Lnet/minecraft/network/play/client/C00PacketKeepAlive;)V,net/minecraft/network/NetHandlerPlayServer/processKeepAlive,(Lnet/minecraft/network/play/client/C00PacketKeepAlive;)V
sw/b,(Ldh;)V,net/minecraft/entity/EntityLiving/func_70014_b,(Lnet/minecraft/nbt/NBTTagCompound;)V,net/minecraft/entity/EntityLiving/writeEntityToNBT,(Lnet/minecraft/nbt/NBTTagCompound;)V
acv/c,()I,net/minecraft/item/ItemFishingRod/func_77619_b,()I,net/minecraft/item/ItemFishingRod/getItemEnchantability,()I
z/a,(Laa;)Laa;,net/minecraft/command/CommandHandler/func_71560_a,(Lnet/minecraft/command/ICommand;)Lnet/minecraft/command/ICommand;,net/minecraft/command/CommandHandler/registerCommand,(Lnet/minecraft/command/ICommand;)Lnet/minecraft/command/ICommand;
ayq/f,()[Ljava/lang/String;,net/minecraft/world/storage/SaveHandler/func_75754_f,()[Ljava/lang/String;,net/minecraft/world/storage/SaveHandler/getAvailablePlayerDat,()[Ljava/lang/String;
ahb/a,(Lazt;Lawt;Lsa;)Z,net/minecraft/world/World/func_72918_a,(Lnet/minecraft/util/AxisAlignedBB;Lnet/minecraft/block/material/Material;Lnet/minecraft/entity/Entity;)Z,net/minecraft/world/World/handleMaterialAcceleration,(Lnet/minecraft/util/AxisAlignedBB;Lnet/minecraft/block/material/Material;Lnet/minecraft/entity/Entity;)Z
ahb/b,(II)Laji;,net/minecraft/world/World/func_147474_b,(II)Lnet/minecraft/block/Block;,net/minecraft/world/World/getTopBlock,(II)Lnet/minecraft/block/Block;
bua/loginCallback,(Ltv/twitch/ErrorCode;Ltv/twitch/broadcast/ChannelInfo;)V,net/minecraft/client/stream/BroadcastController/loginCallback,(Ltv/twitch/ErrorCode;Ltv/twitch/broadcast/ChannelInfo;)V,net/minecraft/client/stream/BroadcastController/loginCallback,(Ltv/twitch/ErrorCode;Ltv/twitch/broadcast/ChannelInfo;)V
ale/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockFurnace/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockFurnace/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
adb/b,()Z,net/minecraft/item/Item/func_77623_v,()Z,net/minecraft/item/Item/requiresMultipleRenderPasses,()Z
sa/d,(Ldh;)Z,net/minecraft/entity/Entity/func_70039_c,(Lnet/minecraft/nbt/NBTTagCompound;)Z,net/minecraft/entity/Entity/writeToNBTOptional,(Lnet/minecraft/nbt/NBTTagCompound;)Z
abt/f,()I,net/minecraft/creativetab/CreativeTabs/func_151243_f,()I,net/minecraft/creativetab/CreativeTabs/func_151243_f,()I
bej/m,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$1400,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$1400,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
bez/a,(FII)V,net/minecraft/client/gui/inventory/GuiBeacon/func_146976_a,(FII)V,net/minecraft/client/gui/inventory/GuiBeacon/drawGuiContainerBackgroundLayer,(FII)V
sw/a,(Ldh;)V,net/minecraft/entity/EntityLiving/func_70037_a,(Lnet/minecraft/nbt/NBTTagCompound;)V,net/minecraft/entity/EntityLiving/readEntityFromNBT,(Lnet/minecraft/nbt/NBTTagCompound;)V
nh/a,(Liw;)V,net/minecraft/network/NetHandlerPlayServer/func_147338_a,(Lnet/minecraft/network/play/client/C11PacketEnchantItem;)V,net/minecraft/network/NetHandlerPlayServer/processEnchantItem,(Lnet/minecraft/network/play/client/C11PacketEnchantItem;)V
abt/h,()Z,net/minecraft/creativetab/CreativeTabs/func_78019_g,()Z,net/minecraft/creativetab/CreativeTabs/drawInForegroundOfTab,()Z
bao/am,()V,net/minecraft/client/Minecraft/func_147121_ag,()V,net/minecraft/client/Minecraft/func_147121_ag,()V
bll/e_,()V,net/minecraft/client/entity/EntityOtherPlayerMP/func_71061_d_,()V,net/minecraft/client/entity/EntityOtherPlayerMP/resetHeight,()V
aol/a,(Lahb;)I,net/minecraft/block/BlockPressurePlateWeighted/func_149738_a,(Lnet/minecraft/world/World;)I,net/minecraft/block/BlockPressurePlateWeighted/tickRate,(Lnet/minecraft/world/World;)I
sv/a,(Lro;)V,net/minecraft/entity/EntityLivingBase/func_70645_a,(Lnet/minecraft/util/DamageSource;)V,net/minecraft/entity/EntityLivingBase/onDeath,(Lnet/minecraft/util/DamageSource;)V
sa/a,(Ldh;)V,net/minecraft/entity/Entity/func_70037_a,(Lnet/minecraft/nbt/NBTTagCompound;)V,net/minecraft/entity/Entity/readEntityFromNBT,(Lnet/minecraft/nbt/NBTTagCompound;)V
acv/f,()Z,net/minecraft/item/ItemFishingRod/func_77662_d,()Z,net/minecraft/item/ItemFishingRod/isFull3D,()Z
dh/a,(Ljava/lang/String;Ldy;)V,net/minecraft/nbt/NBTTagCompound/func_74782_a,(Ljava/lang/String;Lnet/minecraft/nbt/NBTBase;)V,net/minecraft/nbt/NBTTagCompound/setTag,(Ljava/lang/String;Lnet/minecraft/nbt/NBTBase;)V
bej/n,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$1500,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$1500,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
bcq/a,(III)V,net/minecraft/client/gui/GuiScreenRealmsProxy/func_73864_a,(III)V,net/minecraft/client/gui/GuiScreenRealmsProxy/mouseClicked,(III)V
bfq/a,(FII)V,net/minecraft/client/gui/GuiEnchantment/func_146976_a,(FII)V,net/minecraft/client/gui/GuiEnchantment/drawGuiContainerBackgroundLayer,(FII)V
wi/by,()Z,net/minecraft/entity/passive/EntityHorse/func_70601_bi,()Z,net/minecraft/entity/passive/EntityHorse/getCanSpawnHere,()Z
adb/e,(Ladd;)Z,net/minecraft/item/Item/func_77636_d,(Lnet/minecraft/item/ItemStack;)Z,net/minecraft/item/Item/hasEffect,(Lnet/minecraft/item/ItemStack;)Z
vy/a,(II)Z,net/minecraft/village/VillageDoorInfo/func_75467_a,(II)Z,net/minecraft/village/VillageDoorInfo/isInside,(II)Z
rw/a,(Lrw;)V,net/minecraft/potion/PotionEffect/func_76452_a,(Lnet/minecraft/potion/PotionEffect;)V,net/minecraft/potion/PotionEffect/combine,(Lnet/minecraft/potion/PotionEffect;)V
bao/an,()V,net/minecraft/client/Minecraft/func_147119_ah,()V,net/minecraft/client/Minecraft/updateFramebufferSize,()V
abb/b,(I)Lrf;,net/minecraft/item/ItemArmor/func_94602_b,(I)Lnet/minecraft/util/IIcon;,net/minecraft/item/ItemArmor/func_94602_b,(I)Lnet/minecraft/util/IIcon;
sa/b,(Ldh;)V,net/minecraft/entity/Entity/func_70014_b,(Lnet/minecraft/nbt/NBTTagCompound;)V,net/minecraft/entity/Entity/writeEntityToNBT,(Lnet/minecraft/nbt/NBTTagCompound;)V
ahb/b,(Lsa;Lazt;)Ljava/util/List;,net/minecraft/world/World/func_72839_b,(Lnet/minecraft/entity/Entity;Lnet/minecraft/util/AxisAlignedBB;)Ljava/util/List;,net/minecraft/world/World/getEntitiesWithinAABBExcludingEntity,(Lnet/minecraft/entity/Entity;Lnet/minecraft/util/AxisAlignedBB;)Ljava/util/List;
buo/a,(Ljava/lang/String;)Ltv/twitch/chat/ChatUserInfo;,net/minecraft/client/stream/TwitchStream/func_152926_a,(Ljava/lang/String;)Ltv/twitch/chat/ChatUserInfo;,net/minecraft/client/stream/TwitchStream/func_152926_a,(Ljava/lang/String;)Ltv/twitch/chat/ChatUserInfo;
bma/b,(IIIIII)V,net/minecraft/client/renderer/RenderGlobal/func_72725_b,(IIIIII)V,net/minecraft/client/renderer/RenderGlobal/markBlocksForUpdate,(IIIIII)V
sw/r,()V,net/minecraft/entity/EntityLiving/func_70642_aH,()V,net/minecraft/entity/EntityLiving/playLivingSound,()V
xk/k,()V,net/minecraft/entity/item/EntityItem/func_85054_d,()V,net/minecraft/entity/item/EntityItem/searchForOtherItemsNearby,()V
qx/a,(Ljava/util/Random;[Lqx;Lrb;I)V,net/minecraft/util/WeightedRandomChestContent/func_76293_a,(Ljava/util/Random;[Lnet/minecraft/util/WeightedRandomChestContent;Lnet/minecraft/inventory/IInventory;I)V,net/minecraft/util/WeightedRandomChestContent/generateChestContents,(Ljava/util/Random;[Lnet/minecraft/util/WeightedRandomChestContent;Lnet/minecraft/inventory/IInventory;I)V
yx/j,()I,net/minecraft/entity/player/InventoryPlayer/func_70447_i,()I,net/minecraft/entity/player/InventoryPlayer/getFirstEmptyStack,()I
bao/ak,()V,net/minecraft/client/Minecraft/func_71411_J,()V,net/minecraft/client/Minecraft/runGameLoop,()V
asz/a,(Lahb;Ljava/util/Random;Lasv;)Z,net/minecraft/world/gen/structure/StructureMineshaftPieces$Cross/func_74875_a,(Lnet/minecraft/world/World;Ljava/util/Random;Lnet/minecraft/world/gen/structure/StructureBoundingBox;)Z,net/minecraft/world/gen/structure/StructureMineshaftPieces$Cross/addComponentParts,(Lnet/minecraft/world/World;Ljava/util/Random;Lnet/minecraft/world/gen/structure/StructureBoundingBox;)Z
atq/a,(Lahb;Ljava/util/Random;Lasv;)Z,net/minecraft/world/gen/structure/StructureNetherBridgePieces$NetherStalkRoom/func_74875_a,(Lnet/minecraft/world/World;Ljava/util/Random;Lnet/minecraft/world/gen/structure/StructureBoundingBox;)Z,net/minecraft/world/gen/structure/StructureNetherBridgePieces$NetherStalkRoom/addComponentParts,(Lnet/minecraft/world/World;Ljava/util/Random;Lnet/minecraft/world/gen/structure/StructureBoundingBox;)Z
wi/cj,()Z,net/minecraft/entity/passive/EntityHorse/func_110246_bZ,()Z,net/minecraft/entity/passive/EntityHorse/isHorseJumping,()Z
zo/i,()F,net/minecraft/entity/projectile/EntityPotion/func_70185_h,()F,net/minecraft/entity/projectile/EntityPotion/getGravityVelocity,()F
kd/a,(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Lkc;,net/minecraft/network/ServerStatusResponse$PlayerCountData$Serializer/deserialize,(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Lnet/minecraft/network/ServerStatusResponse$PlayerCountData;,net/minecraft/network/ServerStatusResponse$PlayerCountData$Serializer/deserialize,(Lcom/google/gson/JsonElement;Ljava/lang/reflect/Type;Lcom/google/gson/JsonDeserializationContext;)Lnet/minecraft/network/ServerStatusResponse$PlayerCountData;
ahb/a,(Lsa;Lazt;)Ljava/util/List;,net/minecraft/world/World/func_72945_a,(Lnet/minecraft/entity/Entity;Lnet/minecraft/util/AxisAlignedBB;)Ljava/util/List;,net/minecraft/world/World/getCollidingBoundingBoxes,(Lnet/minecraft/entity/Entity;Lnet/minecraft/util/AxisAlignedBB;)Ljava/util/List;
bma/a,(IIIIII)V,net/minecraft/client/renderer/RenderGlobal/func_147585_a,(IIIIII)V,net/minecraft/client/renderer/RenderGlobal/markBlockRangeForRenderUpdate,(IIIIII)V
sw/s,()V,net/minecraft/entity/EntityLiving/func_70656_aK,()V,net/minecraft/entity/EntityLiving/spawnExplosionParticle,()V
anz/i,(I)I,net/minecraft/block/BlockTallGrass/func_149741_i,(I)I,net/minecraft/block/BlockTallGrass/getRenderColor,(I)I
afq/a,(Ladd;)Z,net/minecraft/enchantment/EnchantmentDamage/func_92089_a,(Lnet/minecraft/item/ItemStack;)Z,net/minecraft/enchantment/EnchantmentDamage/canApply,(Lnet/minecraft/item/ItemStack;)Z
wi/ci,()F,net/minecraft/entity/passive/EntityHorse/func_110254_bY,()F,net/minecraft/entity/passive/EntityHorse/getHorseSize,()F
bao/al,()V,net/minecraft/client/Minecraft/func_147116_af,()V,net/minecraft/client/Minecraft/func_147116_af,()V
xj/a,(Lk;)V,net/minecraft/entity/item/EntityFallingBlock/func_85029_a,(Lnet/minecraft/crash/CrashReportCategory;)V,net/minecraft/entity/item/EntityFallingBlock/addEntityCrashInfo,(Lnet/minecraft/crash/CrashReportCategory;)V
yx/i,()I,net/minecraft/entity/player/InventoryPlayer/func_70451_h,()I,net/minecraft/entity/player/InventoryPlayer/getHotbarSize,()I
adz/a,(Ladd;Lyz;Lahb;IIIIFFF)Z,net/minecraft/item/ItemSign/func_77648_a,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/entity/player/EntityPlayer;Lnet/minecraft/world/World;IIIIFFF)Z,net/minecraft/item/ItemSign/onItemUse,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/entity/player/EntityPlayer;Lnet/minecraft/world/World;IIIIFFF)Z
zd/h,()V,net/minecraft/entity/item/EntityEnderEye/func_70071_h_,()V,net/minecraft/entity/item/EntityEnderEye/onUpdate,()V
acr/a,(Ladd;Lyz;Ljava/util/List;Z)V,net/minecraft/item/ItemFireworkCharge/func_77624_a,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/entity/player/EntityPlayer;Ljava/util/List;Z)V,net/minecraft/item/ItemFireworkCharge/addInformation,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/entity/player/EntityPlayer;Ljava/util/List;Z)V
